date;SO2;NO2;NO;NOX;O3;CO;PM2.5;PM10;Amb.Wspeed;Amb.WDirection;Amb.Temp;Amb.RelHum;Amb.Pressure;death_count;Male;Female;10-64;65+;<10
2013/05/13;17.7756666666667;0.835072430964258;1.0061113626075;1.83776301493911;23.0063333333333;0.0314404614239636;38.3598333333333;56.5242916666667;0.875416666666667;163.864583333333;13.4570833333333;66.7683333333333;858.7475;3;1;2;2;1;0
2013/05/14;33.7542083333333;0.789984155726593;0.95178813942959;1.73853621548234;24.140375;0.0316369387248816;53.8527916666667;83.64375;0.8625;166.610833333333;13.87625;60.0945833333333;857.55375;6;5;1;3;2;1
2013/05/15;23.2785;0.744895880488928;0.897464916251682;1.63930941602556;29.3062083333333;0.0318334160257996;57.8750416666667;84.46525;1.28375;164.6275;13.7658333333333;57.23375;854.311666666667;7;3;4;2;4;1
2013/05/16;11.435375;0.699807605251262;0.843141693073774;1.54008261656878;34.9006666666667;0.0320298933267175;42.093;74.4333333333333;1.37666666666667;166.0225;14.4608333333333;51.3920833333333;852.36;4;3;1;3;0;1
2013/05/17;16.5020416666667;0.654719330013597;0.788818469895867;1.440855817112;30.4514166666667;0.0322263706276355;31.429875;57.4611666666667;2.04416666666667;125.046666666667;14.4295833333333;56.4145833333333;856.312916666667;5;1;4;3;0;2
2013/05/18;5.541;0.609631054775932;0.734495246717959;1.34162901765522;34.834625;0.0324228479285535;22.335375;29.00825;2.09708333333333;104.360833333333;13.6475;73.5420833333333;861.08875;2;0;2;2;0;0
2013/05/19;22.2645;0.564542779538267;0.680172023540051;1.24240221819843;26.0645833333333;0.0326193252294714;41.60425;56.6854166666667;1.10833333333333;176.164583333333;12.0845833333333;75.2179166666667;858.980833333333;NA;NA;NA;NA;NA;NA
2013/05/20;18.0000416666667;0.519454504300602;0.625848800362144;1.14317541874165;21.9514583333333;0.0328158025303894;38.077125;60.5725;1.20791666666667;131.06625;13.3895833333333;55.2166666666667;855.444166666667;3;2;1;1;2;0
2013/05/21;47.827875;0.474366229062937;0.571525577184237;1.04394861928487;18.8575416666667;0.70052290581328;55.7798333333333;96.3625;0.717916666666667;128.405416666667;13.75875;50.4995833333333;855.694166666667;3;1;2;1;2;0
2013/05/22;18.1839583333333;0.429277953825271;0.517202354006329;0.944721819828093;23.5541666666667;1.39720833333333;38.4860416666667;74.6040833333333;1.01083333333333;135.92375;14.3745833333333;42.9645833333333;855.498333333333;5;3;2;2;2;1
2013/05/23;18.182625;0.384189678587606;0.462879130828422;0.845495020371315;32.9520833333333;1.25208333333333;52.5055416666667;91.3777916666667;1.39208333333333;94.4904166666667;15.895;38.1575;855.491666666667;4;1;3;2;1;1
2013/05/24;19.2909583333333;0.339101403349941;0.408555907650514;0.746268220914535;28.4653333333333;1.34304166666667;53.26375;99.3659583333333;0.942083333333333;127.8225;15.62875;40.1079166666667;856.32625;4;0;4;3;1;0
