year;variable;Total;q25;median;mean;sd;q75;q99;skew;kurtosis
2017;pm2.5;NA;12.9624784313726;25.9861672965104;28.4893124409608;18.6377781543011;38.5003333333333;74.8275714879444;0.749398800363371;2.8572579111447
2017;so2;NA;4.87675070336644;7.71813180171716;9.96075548515711;7.83509910639076;12.6493541666667;38.9053304073079;2.15132938104737;9.26562099965964
2018;Female;933;1;2;2.55616438356164;1.58815899200704;3;6;0.486486447269393;2.72126331962509
2018;Male;852;1;2;2.33424657534247;1.63682042169559;3;7;0.719211025086035;3.25175890354378
2018;SixtyFivePlus;1128;2;3;3.09041095890411;1.8457081478155;4;8;0.680966364916686;3.46268374949822
2018;TenToSixtyFour;653;1;2;1.78904109589041;1.31010041178752;3;6;0.731393918217308;3.4281059053292
2018;death_count;1796;3;5;4.92054794520548;2.31970529722294;6;10;0.407295585558468;2.97881564780863
2018;no2;NA;9.41472916666667;13.2933125;14.8461515671531;6.80707895716889;19.2840826923077;31.59711;0.704611725982539;2.634742794092
2018;pm10;NA;27.4362832324181;39.090192480338;47.8258912041549;29.2205444603705;67.1314850283788;128.161674166667;1.08067939387049;4.14950829144728
2018;pm2.5;NA;16.4930625;23.5307316304436;26.520497075556;13.638589279347;30.8278262420323;68.4985473280571;1.35257654454992;5.09641879329942
2018;so2;NA;5.64452684317733;9.21703458886277;10.6132270177336;6.95470513873676;13.580498841305;34.4892366936011;1.68202424558364;7.10634753315675
